sampYear,sampMonth,sampDay,treatment,rep,depthTop,depthBottom,plot,suffix,study,concNO3,concNO3rr,concNH4,concNH4rr
2014,6,2,5,1,0,3,21,E,Rotation 2,5.991,,5.836,
2014,6,2,5,1,3,6,21,E,Rotation 2,9.133,,6.088,
2014,6,2,5,1,6,12,21,E,Rotation 2,23.24,,9.102,
2014,6,2,1,2,0,3,22,E,Rotation 2,3.845,,5.389,
2014,6,2,1,2,3,6,22,E,Rotation 2,2.573,,8.387,
2014,6,2,1,2,6,12,22,E,Rotation 2,6.709,,8.058,
2014,6,2,5,2,0,3,23,E,Rotation 2,9.566,,5.719,
2014,6,2,5,2,3,6,23,E,Rotation 2,10.008,,3.617,
2014,6,2,5,2,6,12,23,E,Rotation 2,28.936,,5.833,
2014,6,2,3,2,0,3,24,E,Rotation 2,168.432,180.02,8.691,8.484
2014,6,2,3,2,3,6,24,E,Rotation 2,31.661,,3.88,
2014,6,2,3,2,6,12,24,E,Rotation 2,28.642,,9.037,
2014,6,2,6,3,0,3,25,E,Rotation 2,46.116,,6.425,
2014,6,2,6,3,3,6,25,E,Rotation 2,86.297,85.299,6.629,6.824
2014,6,2,6,3,6,12,25,E,Rotation 2,196.924,208.026,37.324,35.433
2014,6,2,4,3,0,3,26,E,Rotation 2,46.04,48.936,12.208,11.846
2014,6,2,4,3,3,6,26,E,Rotation 2,40.234,40.119,6.344,6.344
2014,6,2,4,3,6,12,26,E,Rotation 2,58.179,57.889,19.66,19.107
2014,6,2,1,3,0,3,27,E,Rotation 2,3.757,,7.721,
2014,6,2,1,3,3,6,27,E,Rotation 2,2.526,,6.629,
2014,6,2,1,3,6,12,27,E,Rotation 2,9.425,,12.78,
2014,6,2,3,1,0,3,28,E,Rotation 2,21.866,,5.135,
2014,6,2,3,1,3,6,28,E,Rotation 2,9.445,,7.327,
2014,6,2,3,1,6,12,28,E,Rotation 2,21.603,,9.064,
2014,6,2,1,1,0,3,29,E,Rotation 2,2.912,,5.06,
2014,6,2,1,1,3,6,29,E,Rotation 2,3.395,,5.027,
2014,6,2,1,1,6,12,29,E,Rotation 2,8.601,,7.849,
2014,6,2,6,1,0,3,30,E,Rotation 2,17.066,,5.929,
2014,6,2,6,1,3,6,30,E,Rotation 2,9.404,,6.881,
2014,6,2,6,1,6,12,30,E,Rotation 2,15.151,,8.943,
2014,6,2,2,2,0,3,31,E,Rotation 2,6.114,,6.322,
2014,6,2,2,2,3,6,31,E,Rotation 2,3.647,,4.345,
2014,6,2,2,2,6,12,31,E,Rotation 2,9.307,,9.171,
2014,6,2,6,2,0,3,32,E,Rotation 2,13.287,,6.955,
2014,6,2,6,2,3,6,32,E,Rotation 2,11.468,,3.062,
2014,6,2,6,2,6,12,32,E,Rotation 2,29.718,,8.687,
2014,6,2,4,2,0,3,33,E,Rotation 2,42.16,,6.673,
2014,6,2,4,2,3,6,33,E,Rotation 2,11.924,,6.447,
2014,6,2,4,2,6,12,33,E,Rotation 2,14.671,,8.837,
2014,6,2,5,3,0,3,34,E,Rotation 2,5.474,,8.16,
2014,6,2,5,3,3,6,34,E,Rotation 2,3.366,,6.24,
2014,6,2,5,3,6,12,34,E,Rotation 2,12.624,,11.487,
2014,6,2,3,3,0,3,35,E,Rotation 2,14.193,,8.734,
2014,6,2,3,3,3,6,35,E,Rotation 2,5.971,,3.776,
2014,6,2,3,3,6,12,35,E,Rotation 2,15.177,,9.962,
2014,6,2,2,3,0,3,36,E,Rotation 2,4.473,,4.525,
2014,6,2,2,3,3,6,36,E,Rotation 2,5.301,,7.327,
2014,6,2,2,3,6,12,36,E,Rotation 2,14.998,,9.663,
2014,6,2,4,1,0,3,19,W,Rotation 2,11.743,,24.665,
2014,6,2,4,1,3,6,19,W,Rotation 2,7.405,,6.55,
2014,6,2,4,1,6,12,19,W,Rotation 2,20.197,,21.453,
